Id;Hersteller;Bezeichnung;Notizblockphoto;AnzPhotos;Ab Mission;Ab Tag;verfügbar ab;Spann- weite (m);Länge (m);Höhe (m);Max. Start- gewicht kg;Passa- giere;Vreise kph;Reichweite km;Triebwerke;Schub (lb);Besat- zung;Service ;Fuel max. (l);Verbrauch (l/h);Neupreis;Wartungs- faktor;Bemerkung 
114;Tupolev ;Tu 154 B;999XL;1;0;0;1972;37.5;47.8;11. Mrz;96000;180;900;3000;3 Kuznetsov NK82;10500;2;3;32500;9600;10440000;01. Jun;Tu 154 to rosyjska odpowiedź na trzysilnikowego 727 - w tym wypadku jest to ulepszona wersja B.
124;NxT LvL Engineering;Space Voyager 2000;999XL;1;10;0;1998;x;x;x;x;90;5000;15000;3 Rockedyne SSME;2131920;4;4;370000;125000;200000000;2,5;Space Voyager powstał w oparciu o wahadłowiec Rockwella. Maksymalną prędkość 28000# km/h może osiągnąć jedynie na orbicie. Voyager przebywa na niej przez krótki czas, właśnie celem osiągnięcia takiej prędkości.
121;McDonnell Douglas;MD 81;999XL;1;0;0;1978;x;x;x;x;172;950;2900;2 Pratt&Whitney JTD8D-209;8400;2;2;10000;3000;20000000;1,1;"Od czasu pierwszego lotu w 1965, kolejne wersje są wciąż ulepszane. MD80 znany jest także jako DC9 ""Super 80""."
106;Boeing;777-300;999XL;1;4;10;1998;60.9;73.9;18,5;299370;550;911;10370;2 GE90-85B                                             ;62000;2;6;171170;8290;56000000;0.8;Boeing chce przedstawić europejskim konkurentom swoją wizję ultranowoczesnego samolotu. Ten dalekodystansowy, dwusilnikowy model jest poważnym konkurentem dla Airbusa.
120;Boeing;767-300 ER;999XL;1;0;0;1988;x;x;x;x;290;1012;9940;2 Rolls Royce-RB211-524D4D;14600;2;4;28000;2800;25000000;1,1;Od roku 1978, Boeing 767 był ciągle ulepszany. Najnowsza wersja to 767-300 RE, wykorzystywana głównie przez American Airlines.
105;Boeing;757-300;999XL;1;4;0;1998;37.9;47.3;13,6;122470;240;890;6455;2 Rolls-Royce RB211-535E4;40100;2;5;43490;4194;69000000;1;Kadłub tego samolotu przypomina serię 707/727, gdyż właśnie na niej jest oparty. Maszyna ta zastąpiła model 727 i jest dostępna od 1998.
103;Boeing;747-400 Domestic;999XL;1;3;20;1989;64.9;70.7;19,3;272155;568;927;3185;4 Rolls-Royce RB211-524Hs;60300;2;6;204350;12788;84000000;0.8;747-400 Domestic może szybko przewieźć 500 pasażerów na krótkim dystansie.
104;Boeing;747-400 ;999XL;1;3;0;1989;64.9;70.7;19,3;396900;420;927;13490;4 Rolls-Royce RB211-524Hs;60300;3;5;216840;12788;92000000;01. Jan;Najnowsza wersja 747-400 to ulepszony wariant dalekosiężnej wersji 747-300. Można ją rozpoznać po charakterystycznych rozpraszaczach na skrzydłach. Ma w pełni skomputeryzowany kokpit i wymaga dwuosobowej obsługi. Piloci mają nawet własne pokoje wypoczynkowe.
102;Boeing;747-100;999XL;1;1;0;1971;59.6;70.7;19,3;270155;370;917;7163;4 Pratt & Whitney JT9D-7;46300;3;5;178700;13862;30000000;01. Feb;Pierwszy lot wykonał w 1970. Wtedy właśnie 747 (100) zadziwił wszystkich swoim zasięgiem i znakomitymi osiągami. Odtąd był już kilka razy ulepszany. Najnowsza wersja lata do dziś.
101;Boeing;737-800;999XL;1;0;10;1998;29. Jun;37.4;11,1;79000;189;815;5420;2 General Electric CFM56-7b;23500;2;3;26020;3050;48000000;1;Najnowszy model z serii 737. Zwiększenie powierzchni skrzydeł, pojemności zbiorników paliwa i wykorzystanie silników dwuprzepływowych, zapewnia modelowi 737-800 większy zasięg niż w poprzednich wersjach.
100;Boeing;737-400;999XL;1;0;0;1988;28. Sep;36.6;11,1;62800;168;815;3870;2 General Electric/SNECMA CFM56-3C1s;23500;2;3;20800;3050;41000000;1;Boeing 737-400 to jedna z większych wersji modelu przeznaczonego na krótkie trasy. Kadłub został powiększony, wzrosła więc także ilość miejsc na pokładzie.
125;Boeing;727-200;999XL;1;0;0;1964;32,91;46,69;10,36;95000;189;1000;4700;3 Pratt & Whitney JT 25/17R;33000;3;3;25000;15000;26000000;1,2;Pięć lat po wkroczeniu Boeinga na rynek samolotów średniego zasięgu, powstał model 727. Istnieje wersja, którą szybko można przerobić z samolotu pasażerskiego na towarowy.
118;Boeing;720;999XL;1;0;0;1963;39.8;41.8;11;92000;165;965;6835;4 Pratt & Whitney JT3D-3;8165;3;3;79925;11000;14025000;01. Feb;Mniejszy brat modelu 707, produkowany od 1960. Zmniejszono zużycie paliwa, zwiększając tym samym zasięg. Zbudowano tylko 154 takich maszyn.
117;Boeing;707-320C;999XL;1;0;0;1961;44.4;46.6;11;151300;189;975;5840;4 Pratt & Whitney JT4A-11 ;7938;3;4;92250;15345;14175000;01. Mrz;Pierwszy prototyp modelu 707 wzniósł się w powietrze w 1954. Przez wiele lat był z powodzeniem wykorzystywany - wersja 707C to model dalekiego zasięgu. Nie jest to już nowoczesny samolot, ale od lat jest jednym z najbardziej niezawodnych.
115;Lockheed Aircraft Corp.;L-1011 Tristar 500;999XL;1;1;0;1980;50.1;50.05;17;225000;300;800;8500;3 Rolls Royce RB211-524B;22700;3;4;80000;9100;30000000;01. Feb;Model 500 to najnowsza wersja znanego modelu Tristar, który wprowadzono jako konkuretna dla DC10. Sprzedano w sumie 250 takich maszyn.
113;Ilyushin Sowjetunion;Il 86;999XL;1;1;0;1980;48;59.8;15. Aug;205000;380;950;4950;4 Kuznetsov NK86;13000;2;5;53000;9800;17100000;01. Mai;W porównaniu z innymi rosyjskimi samolotami, Ił 86 jest bardzo nowoczesny. Aerofłot używa go od 1980 roku. Zmodernizowana wersja, jeśli zapewnić jej właściwą obsługę, jest bardzo solidną maszyną.
112;Ilyushin Sowjetunion;Il 62;999XL;1;1;0;1969;43.2;53.1;12. Mrz;164996;198;880;9200;4 Soloviev D30KU;11000;3;3;110000;10500;9900000;01. Feb;Ił 62 był pierwszym radzieckim samolotem odrzutowym dalekiego zasięgu. Używany w lotach krajowych od lat siedemdziesiątych. Projekt przypomina brytyjskiego Vickersa VC10.
119;Grumman Engineering Corp.;Gulfstream II;999XL;1;0;0;1966;x;x;x;x;15;950;6000;2 Rolls Royce Spey Mk.511-8;10000;2;1;12000;1800;10000000;1;Ten niewielki samolot firmowy ma niesamowity zasięg. Jest też ekstrawagancko luksusowy, szybki i drogi. Jest popularny jako samolot prywatny i symbol statusu społecznego. Kupując taki, zaszokujesz konkurentów.
123;de Havilland Canada;DHC 8 Dash 8;999XL;1;0;0;1983;x;x;x;x;40;555;2150;2 Pratt&Whitney Turboprops;8900;2;1;7000;1800;14000000;1;Ten samolot używany jest zarówno przez lotnictwo cywilne, jak i wojskowe. Jego obsługa jest bardzo tania, a zużycie paliwa ekonomiczne.
122;McDonnell Douglas;DC 8 Super 70;999XL;1;0;0;1980;x;x;x;x;259;932;12600;4 Rolls Royce Turbofan CFM56;18000;3;5;115000;14000;80000000;1,4;Wersja 70 to ulepszony model 60. Wprowadzono mocniejsze i bardziej ekonomiczne silniki, dzięki czemu maszyna ta stanowi poważną konkurencję dla Boeinga 747.
107;McDonnell Douglas;DC 10;999XL;1;1;0;1976;50.4;55.3;17. Jul;251701;380;965;9252;3 General Electric CF6-50C2s;52200;3;5;138730;9376;29000000;1;Umiejscowienie silników jest nietypowe, a samolot przeznaczony jest do lotów średnio- i dalekodystansowych. Unowocześniona wersja tego modelu jest nadal bardzo popularna.
116;BAC Aerospatiale;Concorde;999XL;1;4;3;1976;25. Mai;62.1;11. Mrz;185065;100;2150;6230;4 Rolls-Royce / SNECMA Olympus 593s;38000;3;2;119500;25629;30000000;01. Aug;Concorde jest bardzo szybki, ale ma swoje wady. Zabiera jedynie 100 pasażerów, a w kabinie nie można stanąć w pozycji wyprostowanej. Jednakże jest to samolot naddźwiękowy, lata więc niesłychanie szybko.
126;Lockheed Corp.;C5A Galaxy;999XL;1;0;0;1968;67,88;75,54;19,85;115000;345;919;6000;4 General Electric TF-GE 1;40000;3;5;9000;14000;25000000;1,6;Amerykańska maszyna transportowa, używana także przez lotnictwo wojskowe. Cena nowego egzemplarza jest znośna, ale należy uważać na wysokie koszty użytkowania.
108;Airbus Industrie;A 320 ;999XL;1;3;25;1988;33.9;37.6;11. Aug;66000;149;853;3717;2 General Electric / SNECMA CFM56-5A1s;25000;2;3;23870;3025;12000000;01. Jan;W roku 1984, po początkowych problemach, rządy Niemiec i Wielkiej Brytanii przyznały dotacje na produkcję Airbusa. Model A 320 zużywa o 43% mniej paliwa niż Boeing 727, co stanowi niewątpliwą zaletę tej maszyny.
110;Airbus Industrie;A 310;999XL;1;3;15;1982;43.9;46.67;15.8;132000;250;900;7350;2 General Electric CF6-80C2A2;25000;2;4;24210;2850;22500000;1;A 310 to ulepszona wersja modelu 300, z przebudowanym i skróconym kadłubem oraz dodatkowym zbiornikiem, pozwalającym na lepsze rozłożenie masy.
111;Airbus Industrie;A 300 ;999XL;1;3;0;1973;44.8;54;16. Nov;153000;375;875;8000;2 General Electric CF6-50;25000;2;5;29700;2983;28125000;1;A 300 z lat siedemdziesiątych był wspólnym projektem kilku państw europejskich. Do dziś jest używany jako wzorcowy samolot Airbusa. Najnowsza wersja to ulepszony model 600.
