Ebene;Von;Nach;Miete;Beliebtheitsfaktor
1;Abidżan;Addis;101000;0.087
1;Abidżan;Bejrut;74300;0.072
1;Abidżan;Brazawila;22700;0.246
1;Abidżan;Dual;19400;0.2
1;Abidżan;Dubaj;227600;0.054
1;Abidżan;Libreville;27600;0.307
1;Abidżan;Lizbona;63700;0.049
1;Abidżan;Lomé;12700;0.321
1;Abidżan;Monrovia;6300;0.252
1;Abidżan;Niamey;20800;0.342
1;Abidżan;Wagadugu;41000;0.849
1;Abidżan;Tunis;44900;0.069
1;Abu;Bahrajn;73200;0.265
1;Abu;Baku;22500;0.032
1;Abu;Bangkok;886100;0.131
1;Abu;Barcelona;250900;0.043
1;Abu;Bejrut;135800;0.115
1;Abu;Belgrad;124000;0.071
1;Abu;Brisbane;609600;0.106
1;Abu;Bruksela;258000;0.052
1;Abu;Casablanca;244800;0.067
1;Abu;Chengdu;170600;0.072
1;Abu;Czennaj;178900;0.136
1;Abu;Chicago;743800;0.086
1;Abu;Kolombo;245800;0.125
1;Abu;Delhi;492200;0.278
1;Abu;Dhaka;146600;0.077
1;Abu;Dublin;436100;0.07
1;Abu;Frankfurt;503000;0.069
1;Abu;Genewa;184500;0.048
1;Abu;Hongkong;293100;0.031
1;Abu;Stambuł;225600;0.056
1;Abu;Johannesburg;294000;0.074
1;Abu;Kair;463900;0.248
1;Abu;Karaczi;43200;0.089
1;Abu;Chartum;26700;0.033
1;Abu;Kuala;300800;0.043
1;Abu;Kuwejt;119200;0.181
1;Abu;Lagos;157200;0.079
1;Abu;Londyn;2012800;0.22
1;Abu;Los;388900;0.029
1;Abu;Madryt;287500;0.042
1;Abu;Mediolan;206400;0.049
1;Abu;Male;136900;0.113
1;Abu;Manchester;648700;0.123
1;Abu;Manila;975300;0.151
1;Abu;Melbourne;1245400;0.171
1;Abu;Mińsk;40000;0.026
1;Abu;Monachium;498300;0.092
1;Abu;Maskat;42800;0.15
1;Abu;Nairobi;95500;0.055
1;Abu;Nowy;912900;0.071
1;Abu;Paryż;840600;0.105
1;Abu;Pekin;366500;0.061
1;Abu;Phuket;260400;0.089
1;Abu;Rijad;115200;0.214
1;Abu;Rzym;500400;0.108
1;Abu;Seul;482100;0.046
1;Abu;Seszele;72700;0.107
1;Abu;Szanghaj;354500;0.047
1;Abu;Singapur;323100;0.036
1;Abu;Tokio;408700;0.045
1;Abu;Toronto;508600;0.043
1;Abu;Waszyngton;453600;0.069
1;Abu;Zurych;242800;0.048
1;Abudża;Akra;23600;0.429
1;Abudża;Addis;196400;0.4
1;Abudża;Frankfurt;79900;0.056
1;Abudża;Stambuł;101400;0.088
1;Abudża;Kair;53500;0.095
1;Abudża;Londyn;183200;0.111
1;Akra;Abidżan;28900;0.657
1;Akra;Addis;253400;0.253
1;Akra;Amsterdam;332900;0.123
1;Akra;Bandżul;26100;0.284
1;Akra;Bruksela;117700;0.071
1;Akra;Dubaj;214000;0.057
1;Akra;Stambuł;122200;0.055
1;Akra;Johannesburg;124800;0.124
1;Akra;Kair;74800;0.065
1;Akra;Londyn;294600;0.102
1;Akra;Monrovia;23400;0.635
1;Akra;Nairobi;44000;0.061
1;Akra;Nowy;369600;0.113
1;Akra;Wagadugu;8700;0.206
1;Akra;Paryż;57800;0.023
1;Addis;Antananarywa;50200;0.113
1;Addis;Asmara;46100;0.627
1;Addis;Bahrajn;43500;0.039
1;Addis;Bamako;91300;0.125
1;Addis;Bangkok;315000;0.043
1;Addis;Brazawila;33300;0.13
1;Addis;Bruksela;206100;0.048
1;Addis;Bujumbura;34000;0.279
1;Addis;Chengdu;165500;0.06
1;Addis;Chicago;329900;0.046
1;Addis;Kotonu;50800;0.098
1;Addis;Dakar;108700;0.076
1;Addis;Dar;85900;0.263
1;Addis;Dżibuti;23400;0.416
1;Addis;Doha;72500;0.033
1;Addis;Dual;56200;0.122
1;Addis;Dubaj;550300;0.157
1;Addis;Dublin;796900;0.15
1;Addis;Frankfurt;504100;0.079
1;Addis;Genewa;96400;0.03
1;Addis;Kanton;660800;0.125
1;Addis;Harare;70400;0.14
1;Addis;Hongkong;365600;0.036
1;Addis;Stambuł;149000;0.038
1;Addis;Dżakarta;136600;0.029
1;Addis;Johannesburg;441100;0.216
1;Addis;Kair;142600;0.092
1;Addis;Kampala;129900;0.532
1;Addis;Kapsztad;314200;0.25
1;Addis;Chartum;92800;0.36
1;Addis;Kuwejt;49800;0.033
1;Addis;Lagos;261700;0.245
1;Addis;Libreville;50700;0.119
1;Addis;Lomé;61400;0.099
1;Addis;Londyn;437500;0.056
1;Addis;Luanda;130000;0.182
1;Addis;Lumbadzi;92900;0.378
1;Addis;Lusaka;70800;0.17
1;Addis;Madryt;173600;0.033
1;Addis;Mediolan;209100;0.059
1;Addis;Malabo;55200;0.147
1;Addis;Manchester;127200;0.028
1;Addis;Manila;236600;0.036
1;Addis;Maputo;103700;0.206
1;Addis;Mogadiszu;26700;0.268
1;Addis;Mumbaj;426500;0.214
1;Addis;Maskat;51900;0.033
1;Addis;Nairobi;187000;0.4
1;Addis;Ndżamena;59700;0.269
1;Addis;Niamey;54200;0.114
1;Addis;Oslo;259100;0.069
1;Addis;Wagadugu;59400;0.105
1;Addis;Paryż;324900;0.048
1;Addis;Rijad;103400;0.099
1;Addis;Rzym;190400;0.05
1;Addis;São;239000;0.043
1;Addis;Seul;269200;0.024
1;Addis;Seszele;60500;0.151
1;Addis;Szanghaj;517900;0.064
1;Addis;Singapur;167400;0.019
1;Addis;Sztokholm;252000;0.062
1;Addis;Tel;147400;0.082
1;Addis;Tokio;308200;0.033
1;Addis;Toronto;418600;0.043
1;Addis;Wiedeń;157300;0.039
1;Addis;Windhuk;104500;0.16
1;Addis;Zanzibar;56300;0.251
